%FFID	CHAN	SOU_X	SOU_Y	REC_Y	REC_X	PICK2	SOU_STAT
7	3	512740.01000	4198306.85000	4198298.66000	512739.00000	-1.71692	44.00000
7	4	512740.01000	4198306.85000	4198297.67000	512738.88000	-0.154295	44.10000
7	5	512740.01000	4198306.85000	4198296.68000	512738.76000	1.40833	44.60000
7	6	512740.01000	4198306.85000	4198295.69000	512738.64000	1.97095	45.00000
7	7	512740.01000	4198306.85000	4198294.69000	512738.52000	1.54016	44.90000
7	8	512740.01000	4198306.85000	4198293.70000	512738.40000	1.90279	45.10000
8	1	512730.65000	4198297.80000	4198306.81000	512740.02000	9997.63770	9999.00000
8	2	512730.65000	4198297.80000	4198306.12000	512739.30000	1.87467	44.20000
8	3	512730.65000	4198297.80000	4198305.43000	512738.58000	0.112044	44.10000
8	4	512730.65000	4198297.80000	4198304.73000	512737.86000	-0.255183	44.10000
8	5	512730.65000	4198297.80000	4198304.04000	512737.14000	-0.717804	44.60000
8	6	512730.65000	4198297.80000	4198303.35000	512736.41000	-0.785212	45.10000
8	7	512730.65000	4198297.80000	4198302.65000	512735.69000	-2.61528	45.00000
8	8	512730.65000	4198297.80000	4198301.96000	512734.97000	-1.51506	45.00000
9	1	512788.72000	4198294.98000	4198306.76000	512740.09000	26.14680	9999.00000
9	2	512788.72000	4198294.98000	4198305.80000	512739.81000	26.28407	44.10000
9	3	512788.72000	4198294.98000	4198304.84000	512739.54000	26.12802	44.00000
9	4	512788.72000	4198294.98000	4198303.87000	512739.26000	25.69043	44.10000
9	5	512788.72000	4198294.98000	4198302.91000	512738.99000	26.46066	44.60000
9	6	512788.72000	4198294.98000	4198301.95000	512738.71000	26.45042	44.80000
9	7	512788.72000	4198294.98000	4198300.99000	512738.44000	26.54646	45.20000
9	8	512788.72000	4198294.98000	4198300.03000	512738.16000	26.66184	45.10000
10	1	512787.90000	4198296.66000	4198306.75000	512740.14000	25.43468	9999.00000
10	2	512787.90000	4198296.66000	4198305.75000	512740.10000	25.52999	44.10000
10	3	512787.90000	4198296.66000	4198304.76000	512740.05000	25.34634	44.00000
10	4	512787.90000	4198296.66000	4198303.76000	512740.00000	24.87498	44.00000
10	5	512787.90000	4198296.66000	4198302.76000	512739.96000	24.71065	44.50000
10	6	512787.90000	4198296.66000	4198301.76000	512739.91000	24.66660	44.70000
10	7	512787.90000	4198296.66000	4198300.76000	512739.86000	24.73631	45.10000
10	8	512787.90000	4198296.66000	4198299.76000	512739.82000	24.91318	45.10000
11	1	512786.14000	4198299.15000	4198306.83000	512740.06000	24.24028	9999.00000
11	2	512786.14000	4198299.15000	4198305.83000	512740.09000	24.31826	44.20000
11	3	512786.14000	4198299.15000	4198304.83000	512740.11000	23.71670	43.80000
11	4	512786.14000	4198299.15000	4198303.83000	512740.14000	23.82256	44.10000
11	5	512786.14000	4198299.15000	4198302.83000	512740.17000	22.94257	44.20000
11	6	512786.14000	4198299.15000	4198301.83000	512740.20000	23.07681	44.80000
